GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	2C_Embryo1	2C_Embryo1-Q	2C_Embryo2	2C_Embryo2-Q	2C_Embryo3	2C_Embryo3-Q	4C_Embryo1	4C_Embryo1-Q	4C_Embryo2	4C_Embryo2-Q	4C_Embryo3	4C_Embryo3-Q
NFYA	HsaALTA0005715-1/2	chr6:41048553-41048633	0	chr6:41046903,41048553+41048550-41048633	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NFYA	HsaALTA0005715-2/2	chr6:41048550-41048633	3	chr6:41046903,41048553+41048550-41048633	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LAS1L	HsaALTA0004709-1/2	chrX:64741028-64741167	0	chrX:64743440,64741028-64741170+64741167	Alt3	100.00	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail
LAS1L	HsaALTA0004709-2/2	chrX:64741028-64741170	3	chrX:64743440,64741028-64741170+64741167	Alt3	0.00	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail
SEMA3F	HsaALTA0007597-1/3	chr3:50197125-50197167	0	chr3:50192997,50197125+50197016+50197008-50197167	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SEMA3F	HsaALTA0007597-2/3	chr3:50197016-50197167	109	chr3:50192997,50197125+50197016+50197008-50197167	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SEMA3F	HsaALTA0007597-3/3	chr3:50197008-50197167	117	chr3:50192997,50197125+50197016+50197008-50197167	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ANKIB1	HsaALTA0000439-1/2	chr7:92020484-92020654	0	chr7:92019430,92020484+92020480-92020654	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
ANKIB1	HsaALTA0000439-2/2	chr7:92020480-92020654	4	chr7:92019430,92020484+92020480-92020654	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
KRIT1	HsaALTA0004644-1/2	chr7:91874424-91874448	0	chr7:91875220,91874424-91874485+91874448	Alt3	68.42	Fail	54.55	Fail	0.00	Fail	100.00	Fail	NA	Fail	0.00	Fail
KRIT1	HsaALTA0004644-2/2	chr7:91874424-91874485	37	chr7:91875220,91874424-91874485+91874448	Alt3	31.58	Fail	45.45	Fail	100.00	Fail	0.00	Fail	NA	Fail	100.00	Fail
KRIT1	HsaALTA0004645-1/2	chr7:91871415-91871451	0	chr7:91873316,91871415-91871475+91871451	Alt3	100.00	Pass	97.22	Pass	89.90	Pass	100.00	Pass	100.00	Fail	96.74	Pass
KRIT1	HsaALTA0004645-2/2	chr7:91871415-91871475	24	chr7:91873316,91871415-91871475+91871451	Alt3	0.00	Pass	2.78	Pass	10.10	Pass	0.00	Pass	0.00	Fail	3.26	Pass
KRIT1	HsaALTA0004646-1/2	chr7:91873364-91873415	0	chr7:91874216,91873364-91873463+91873415	Alt3	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass
KRIT1	HsaALTA0004646-2/2	chr7:91873364-91873463	48	chr7:91874216,91873364-91873463+91873415	Alt3	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass
RAD52	HsaALTA0006950-1/3	chr12:1025510-1025649	0	chr12:1025805,1025510-1025701+1025698+1025649	Alt3	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
RAD52	HsaALTA0006950-2/3	chr12:1025510-1025698	49	chr12:1025805,1025510-1025701+1025698+1025649	Alt3	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
RAD52	HsaALTA0006950-3/3	chr12:1025510-1025701	52	chr12:1025805,1025510-1025701+1025698+1025649	Alt3	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
ABP1	HsaALTA0000076-1/2	chr7:150557589-150557670	0	chr7:150556136,150557589+150557532-150557670	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ABP1	HsaALTA0000076-2/2	chr7:150557532-150557670	57	chr7:150556136,150557589+150557532-150557670	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MAD1L1	HsaALTA0004913-1/2	chr7:2270184-2270359	0	chr7:2272507,2270184-2270399+2270359	Alt3	62.50	Fail	100.00	Fail	100.00	Fail	0.00	Pass	84.62	Fail	83.33	Fail
MAD1L1	HsaALTA0004913-2/2	chr7:2270184-2270399	40	chr7:2272507,2270184-2270399+2270359	Alt3	37.50	Fail	0.00	Fail	0.00	Fail	100.00	Pass	15.38	Fail	16.67	Fail
TMEM176A	HsaALTA0008765-1/2	chr7:150500488-150500544	0	chr7:150499413,150500488+150500392-150500544	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TMEM176A	HsaALTA0008765-2/2	chr7:150500392-150500544	96	chr7:150499413,150500488+150500392-150500544	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
M6PR	HsaALTA0004908-1/2	chr12:9098899-9098983	0	chr12:9102084,9098899-9099001+9098983	Alt3	16.28	Pass	14.63	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
M6PR	HsaALTA0004908-2/2	chr12:9098899-9099001	18	chr12:9102084,9098899-9099001+9098983	Alt3	83.72	Pass	85.37	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ICA1	HsaALTA0004161-1/2	chr7:8275540-8275570	0	chr7:8301724,8275540-8275635+8275570	Alt3	17.71	Pass	24.69	Pass	6.80	Pass	0.00	Pass	10.16	Pass	18.18	Pass
ICA1	HsaALTA0004161-2/2	chr7:8275540-8275635	65	chr7:8301724,8275540-8275635+8275570	Alt3	82.29	Pass	75.31	Pass	93.20	Pass	100.00	Pass	89.84	Pass	81.82	Pass
ICA1	HsaALTA0004162-1/3	chr7:8272220-8272363	0	chr7:8275540,8272220-8272385+8272382+8272363	Alt3	0.99	Pass	0.57	Pass	0.00	Pass	0.00	Pass	2.70	Pass	0.00	Pass
ICA1	HsaALTA0004162-2/3	chr7:8272220-8272382	19	chr7:8275540,8272220-8272385+8272382+8272363	Alt3	13.48	Pass	16.09	Pass	8.97	Pass	2.20	Pass	18.13	Pass	14.67	Pass
ICA1	HsaALTA0004162-3/3	chr7:8272220-8272385	22	chr7:8275540,8272220-8272385+8272382+8272363	Alt3	85.52	Pass	83.35	Pass	91.03	Pass	97.80	Pass	79.18	Pass	85.33	Pass
CFLAR	HsaALTA0001825-1/2	chr2:202014479-202014558	0	chr2:202013775,202014479+202014477-202014558	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
CFLAR	HsaALTA0001825-2/2	chr2:202014477-202014558	2	chr2:202013775,202014479+202014477-202014558	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
TFPI	HsaALTA0008582-1/3	chr2:188418927-188419076	0	chr2:188430277,188418927-188419219+188419165+188419076	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TFPI	HsaALTA0008582-2/3	chr2:188418927-188419165	89	chr2:188430277,188418927-188419219+188419165+188419076	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TFPI	HsaALTA0008582-3/3	chr2:188418927-188419219	143	chr2:188430277,188418927-188419219+188419165+188419076	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TFPI	HsaALTA0008583-1/2	chr2:188349654-188349705	0	chr2:188353064,188349654-188349714+188349705	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TFPI	HsaALTA0008583-2/2	chr2:188349654-188349714	9	chr2:188353064,188349654-188349714+188349705	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
C2orf56	HsaALTA0001252-1/2	chr2:37471054-37471116	0	chr2:37469836,37471054+37471006-37471116	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
C2orf56	HsaALTA0001252-2/2	chr2:37471006-37471116	48	chr2:37469836,37471054+37471006-37471116	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
C2orf56	HsaALTA0001253-1/2	chr2:37475401-37475530	0	chr2:37474772,37475401+37475278-37475530	Alt3	16.67	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
C2orf56	HsaALTA0001253-2/2	chr2:37475278-37475530	123	chr2:37474772,37475401+37475278-37475530	Alt3	83.33	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
RBM5	HsaALTA0007070-1/2	chr3:50144915-50145002	0	chr3:50144297,50144915+50144914-50145002	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass
RBM5	HsaALTA0007070-2/2	chr3:50144914-50145002	1	chr3:50144297,50144915+50144914-50145002	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass
RBM5	HsaALTA0007071-1/2	chr3:50148115-50148190	0	chr3:50147896,50148115+50148112-50148190	Alt3	4.55	Fail	0.00	Fail	0.00	Fail	0.00	Pass	11.66	Pass	0.00	Pass
RBM5	HsaALTA0007071-2/2	chr3:50148112-50148190	3	chr3:50147896,50148115+50148112-50148190	Alt3	95.45	Fail	100.00	Fail	100.00	Fail	100.00	Pass	88.34	Pass	100.00	Pass
ARF5	HsaALTA0000590-1/2	chr7:127231023-127231091	0	chr7:127230191,127231023+127231017-127231091	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
ARF5	HsaALTA0000590-2/2	chr7:127231017-127231091	6	chr7:127230191,127231023+127231017-127231091	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
PLXND1	HsaALTA0006450-1/2	chr3:129289722-129289775	0	chr3:129289883,129289722-129289778+129289775	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
PLXND1	HsaALTA0006450-2/2	chr3:129289722-129289778	3	chr3:129289883,129289722-129289778+129289775	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
PLXND1	HsaALTA0006451-1/2	chr3:129304795-129304891	0	chr3:129305015,129304795-129304924+129304891	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail
PLXND1	HsaALTA0006451-2/2	chr3:129304795-129304924	33	chr3:129305015,129304795-129304924+129304891	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail
PLXND1	HsaALTA0006452-1/2	chr3:129303228-129303285	0	chr3:129304795,129303228-129303405+129303285	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PLXND1	HsaALTA0006452-2/2	chr3:129303228-129303405	120	chr3:129304795,129303228-129303405+129303285	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
KDM1A	HsaALTA0004472-1/2	chr1:23399785-23399896	0	chr1:23398690,23399785+23399767-23399896	Alt3	98.11	Pass	98.11	Pass	98.36	Pass	100.00	Pass	99.00	Pass	100.00	Pass
KDM1A	HsaALTA0004472-2/2	chr1:23399767-23399896	18	chr1:23398690,23399785+23399767-23399896	Alt3	1.89	Pass	1.89	Pass	1.64	Pass	0.00	Pass	1.00	Pass	0.00	Pass
KDM1A	HsaALTA0004473-1/2	chr1:23405483-23405670	0	chr1:23403853,23405483+23405459-23405670	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
KDM1A	HsaALTA0004473-2/2	chr1:23405459-23405670	24	chr1:23403853,23405483+23405459-23405670	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
KDM1A	HsaALTA0004474-1/2	chr1:23408786-23408848	0	chr1:23408066,23408786+23408713-23408848	Alt3	0.92	Pass	3.30	Pass	0.56	Pass	0.65	Pass	0.00	Pass	0.18	Pass
KDM1A	HsaALTA0004474-2/2	chr1:23408713-23408848	73	chr1:23408066,23408786+23408713-23408848	Alt3	99.08	Pass	96.70	Pass	99.44	Pass	99.35	Pass	100.00	Pass	99.82	Pass
RBM6	HsaALTA0007072-1/3	chr3:50095199-50095239	0	chr3:50091828,50095199+50095167+50095161-50095239	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
RBM6	HsaALTA0007072-2/3	chr3:50095167-50095239	32	chr3:50091828,50095199+50095167+50095161-50095239	Alt3	1.25	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	2.10	Pass
RBM6	HsaALTA0007072-3/3	chr3:50095161-50095239	38	chr3:50091828,50095199+50095167+50095161-50095239	Alt3	98.75	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	97.90	Pass
RBM6	HsaALTA0007073-1/3	chr3:50097086-50097150	0	chr3:50095995,50097086+50097082+50097065-50097150	Alt3	0.00	Pass	0.00	Pass	1.15	Pass	0.00	Pass	0.00	Pass	0.00	Pass
RBM6	HsaALTA0007073-2/3	chr3:50097082-50097150	4	chr3:50095995,50097086+50097082+50097065-50097150	Alt3	100.00	Pass	100.00	Pass	98.85	Pass	100.00	Pass	100.00	Pass	100.00	Pass
RBM6	HsaALTA0007073-3/3	chr3:50097065-50097150	21	chr3:50095995,50097086+50097082+50097065-50097150	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
RBM6	HsaALTA0007074-1/2	chr3:50112634-50112763	0	chr3:50107985,50112634+50112606-50112763	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
RBM6	HsaALTA0007074-2/2	chr3:50112606-50112763	28	chr3:50107985,50112634+50112606-50112763	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CCDC132	HsaALTA0001550-1/2	chr7:92979191-92979345	0	chr7:92978119,92979191+92979187-92979345	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
CCDC132	HsaALTA0001550-2/2	chr7:92979187-92979345	4	chr7:92978119,92979191+92979187-92979345	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
CCDC132	HsaALTA0001551-1/2	chr7:92883176-92883244	0	chr7:92882088,92883176+92883173-92883244	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CCDC132	HsaALTA0001551-2/2	chr7:92883173-92883244	3	chr7:92882088,92883176+92883173-92883244	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ARHGAP33	HsaALTA0000615-1/2	chr19:36277798-36277974	0	chr19:36276385,36277798+36277315-36277974	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail
ARHGAP33	HsaALTA0000615-2/2	chr19:36277315-36277974	483	chr19:36276385,36277798+36277315-36277974	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail
PDK4	HsaALTA0006166-1/2	chr7:95218952-95219028	0	chr7:95221300,95218952-95219029+95219028	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PDK4	HsaALTA0006166-2/2	chr7:95218952-95219029	1	chr7:95221300,95218952-95219029+95219028	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ZMYND10	HsaALTA0009723-1/2	chr3:50382555-50382663	0	chr3:50382919,50382555-50382667+50382663	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
ZMYND10	HsaALTA0009723-2/2	chr3:50382555-50382667	4	chr3:50382919,50382555-50382667+50382663	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
ZMYND10	HsaALTA0009724-1/2	chr3:50379953-50380000	0	chr3:50380349,50379953-50380086+50380000	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ZMYND10	HsaALTA0009724-2/2	chr3:50379953-50380086	86	chr3:50380349,50379953-50380086+50380000	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ABCB5	HsaALTA0000037-1/2	chr7:20766667-20766763	0	chr7:20762842,20766667+20766663-20766763	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ABCB5	HsaALTA0000037-2/2	chr7:20766663-20766763	4	chr7:20762842,20766667+20766663-20766763	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC25A13	HsaALTA0007872-1/2	chr7:95751151-95751309	0	chr7:95761055,95751151-95751310+95751309	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SLC25A13	HsaALTA0007872-2/2	chr7:95751151-95751310	1	chr7:95761055,95751151-95751310+95751309	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CDC27	HsaALTA0001693-1/3	chr17:45229219-45229236	0	chr17:45232038,45229219-45229302+45229284+45229236	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CDC27	HsaALTA0001693-2/3	chr17:45229219-45229284	48	chr17:45232038,45229219-45229302+45229284+45229236	Alt3	96.13	Pass	93.21	Pass	94.90	Pass	91.94	Pass	93.61	Pass	93.28	Pass
CDC27	HsaALTA0001693-3/3	chr17:45229219-45229302	66	chr17:45232038,45229219-45229302+45229284+45229236	Alt3	3.87	Pass	6.79	Pass	5.10	Pass	8.06	Pass	6.39	Pass	6.72	Pass
DVL2	HsaALTA0002696-1/2	chr17:7133377-7133456	0	chr17:7133604,7133377-7133474+7133456	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass
DVL2	HsaALTA0002696-2/2	chr17:7133377-7133474	18	chr17:7133604,7133377-7133474+7133456	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass
DVL2	HsaALTA0002697-1/2	chr17:7132507-7132588	0	chr17:7132697,7132507-7132593+7132588	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	20.00	Fail	3.51	Pass	0.00	Pass
DVL2	HsaALTA0002697-2/2	chr17:7132507-7132593	5	chr17:7132697,7132507-7132593+7132588	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	80.00	Fail	96.49	Pass	100.00	Pass
CIAPIN1	HsaALTA0001878-1/2	chr16:57474684-57474874	0	chr16:57481254,57474684-57474895+57474874	Alt3	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CIAPIN1	HsaALTA0001878-2/2	chr16:57474684-57474895	21	chr16:57481254,57474684-57474895+57474874	Alt3	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
AC004410.1	HsaALTA0000082-1/2	chr19:2337442-2337624	0	chr19:2334720,2337442+2337194-2337624	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail
AC004410.1	HsaALTA0000082-2/2	chr19:2337194-2337624	248	chr19:2334720,2337442+2337194-2337624	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail
AC004410.1	HsaALTA0000083-1/2	chr19:2339826-2339913	0	chr19:2339207,2339826+2339823-2339913	Alt3	NA	Fail	NA	Fail	0.00	Fail	50.00	Fail	NA	Fail	15.79	Fail
AC004410.1	HsaALTA0000083-2/2	chr19:2339823-2339913	3	chr19:2339207,2339826+2339823-2339913	Alt3	NA	Fail	NA	Fail	100.00	Fail	50.00	Fail	NA	Fail	84.21	Fail
COPZ2	HsaALTA0002089-1/2	chr17:46114217-46114285	0	chr17:46115033,46114217-46114291+46114285	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
COPZ2	HsaALTA0002089-2/2	chr17:46114217-46114291	6	chr17:46115033,46114217-46114291+46114285	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
COPZ2	HsaALTA0002090-1/2	chr17:46109526-46109595	0	chr17:46110052,46109526-46109599+46109595	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
COPZ2	HsaALTA0002090-2/2	chr17:46109526-46109599	4	chr17:46110052,46109526-46109599+46109595	Alt3	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
WDR54	HsaALTA0009509-1/2	chr2:74649280-74649502	0	chr2:74648943,74649280+74649247-74649502	Alt3	84.62	Fail	100.00	Fail	100.00	Fail	NA	Fail	96.77	Pass	100.00	Fail
WDR54	HsaALTA0009509-2/2	chr2:74649247-74649502	33	chr2:74648943,74649280+74649247-74649502	Alt3	15.38	Fail	0.00	Fail	0.00	Fail	NA	Fail	3.23	Pass	0.00	Fail
WDR54	HsaALTA0009510-1/2	chr2:74652224-74652364	0	chr2:74652102,74652224+74652202-74652364	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	1.96	Pass
WDR54	HsaALTA0009510-2/2	chr2:74652202-74652364	22	chr2:74652102,74652224+74652202-74652364	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	98.04	Pass
WDR54	HsaALTA0009511-1/2	chr2:74652767-	0	chr2:74652618,74652767+74652697-	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
WDR54	HsaALTA0009511-2/2	chr2:74652697-	70	chr2:74652618,74652767+74652697-	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
WDR54	HsaALTA0009512-1/2	chr2:74650446-74650512	0	chr2:74650059,74650446+74650318-74650512	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
WDR54	HsaALTA0009512-2/2	chr2:74650318-74650512	128	chr2:74650059,74650446+74650318-74650512	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
WDR54	HsaALTA0009513-1/2	chr2:74650610-74650635	0	chr2:74650512,74650610+74650605-74650635	Alt3	0.00	Fail	NA	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass
WDR54	HsaALTA0009513-2/2	chr2:74650605-74650635	5	chr2:74650512,74650610+74650605-74650635	Alt3	100.00	Fail	NA	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass
ABCB4	HsaALTA0000036-1/2	chr7:87035604-87035810	0	chr7:87037353,87035604-87035831+87035810	Alt3	62.90	Pass	64.99	Pass	67.62	Pass	77.76	Pass	74.98	Pass	77.14	Pass
ABCB4	HsaALTA0000036-2/2	chr7:87035604-87035831	21	chr7:87037353,87035604-87035831+87035810	Alt3	37.10	Pass	35.01	Pass	32.38	Pass	22.24	Pass	25.02	Pass	22.86	Pass
MLL5	HsaALTA0005249-1/2	chr7:104708926-104708992	0	chr7:104707254,104708926+104708922-104708992	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	18.00	Pass	0.00	Fail
MLL5	HsaALTA0005249-2/2	chr7:104708922-104708992	4	chr7:104707254,104708926+104708922-104708992	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	82.00	Pass	100.00	Fail
RHBDD2	HsaALTA0007153-1/2	chr7:75513052-75513118	0	chr7:75510804,75513052+75513016-75513118	Alt3	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail
RHBDD2	HsaALTA0007153-2/2	chr7:75513016-75513118	36	chr7:75510804,75513052+75513016-75513118	Alt3	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail
